Team 5,Team 19,Team 6,Team 18
Team 22,Team 15,Team 4,Team 20
Team 11,Team 17,Team 21,Team 2
Team 3,Team 16,Team 10,Team 8
Team 1,Team 13,Team 12,Team 9
Team 7,Team 23,Team 14,Team 8
Team 11,Team 22,Team 3,Team 10
Team 6,Team 19,Team 23,Team 14
Team 4,Team 20,Team 5,Team 9
Team 21,Team 15,Team 2,Team 7
Team 1,Team 12,Team 17,Team 18
Team 13,Team 16,Team 21,Team 18
Team 6,Team 12,Team 22,Team 13
Team 7,Team 8,Team 2,Team 4
Team 19,Team 9,Team 14,Team 23
Team 10,Team 11,Team 20,Team 3
Team 15,Team 17,Team 16,Team 5
Team 1,Team 13,Team 19,Team 16
Team 4,Team 3,Team 20,Team 10
Team 21,Team 15,Team 9,Team 5
Team 1,Team 7,Team 6,Team 18
Team 23,Team 11,Team 22,Team 8
Team 2,Team 17,Team 12,Team 14
